,time,wind_speed,wind_direction,temperature,wind_power,theoretical_power
145,2022-12-07 01:00:00,1.5877156,69.75525,8.827972,300.0,25.3341716711882
146,2022-12-07 02:00:00,1.1021914,84.32179,8.802887,40.0,8.476394710204206
147,2022-12-07 03:00:00,0.97341573,108.99057,8.795197,50.0,5.837809858164328
148,2022-12-07 04:00:00,0.97971183,130.36752,8.802246,60.0,5.948694737770674
149,2022-12-07 05:00:00,0.9361593,125.161255,8.836304,0.0,5.188825569925552
150,2022-12-07 06:00:00,0.8054966,100.46038,8.858795,0.0,3.3058283843083895
151,2022-12-07 07:00:00,0.7071437,62.008633,8.950043,0.0,2.2374982083475614
152,2022-12-07 08:00:00,0.713531,1.9060972,9.059937,0.0,2.2994095631496805
153,2022-12-07 09:00:00,1.1491474,321.13824,9.160797,0.0,9.607579191997411
154,2022-12-07 10:00:00,3.1576293,318.13312,10.421509,0.0,198.70788829675007
155,2022-12-07 11:00:00,3.3841586,302.2147,10.441437,0.0,244.42605332227703
156,2022-12-07 12:00:00,3.4304512,286.03546,10.53717,0.0,254.02755635171678
157,2022-12-07 13:00:00,3.251596,276.47656,10.659912,0.0,215.91512677448262
158,2022-12-07 14:00:00,3.0895104,268.42865,10.810272,0.0,185.03890106651886
159,2022-12-07 15:00:00,2.910869,268.99985,10.913696,10.0,154.6945157772758
160,2022-12-07 16:00:00,2.9527125,275.87704,10.97348,0.0,161.38148579686413
161,2022-12-07 17:00:00,3.2572184,283.45154,10.999176,0.0,216.52728180812102
162,2022-12-07 18:00:00,3.7996948,285.76544,11.015869,20.0,343.5024129255225
163,2022-12-07 19:00:00,4.4338613,285.12454,11.061493,180.0,545.5627780824788
164,2022-12-07 20:00:00,5.191752,284.55927,11.114838,250.0,875.281504576202
165,2022-12-07 21:00:00,5.9794145,282.61203,11.183594,270.0,1335.8725008718193
166,2022-12-07 22:00:00,7.89463,279.92224,11.138611,600.0,3078.830697129838
167,2022-12-07 23:00:00,8.447439,279.8501,11.146332,1130.0,3764.771543384757
168,2022-12-08 00:00:00,8.721476,277.35934,11.207367,1590.0,4136.0752240869615
169,2022-12-08 01:00:00,8.826004,276.31528,11.292175,1890.0,4281.749847985949
170,2022-12-08 02:00:00,9.104797,277.43204,11.411041,1760.0,4696.137435274818
171,2022-12-08 03:00:00,9.407698,280.0924,11.576843,1610.0,5175.658737762286
172,2022-12-08 04:00:00,10.042344,283.06192,11.610901,1070.0,6291.576945172677
173,2022-12-08 05:00:00,10.517425,285.0708,11.574249,740.0,7228.402572639088
174,2022-12-08 06:00:00,10.979628,284.94235,11.444458,2060.0,8231.286775193073
175,2022-12-08 07:00:00,11.593116,284.46576,11.211853,3000.0,9690.74313820103
176,2022-12-08 08:00:00,12.291579,284.34882,11.069855,2800.0,11543.249218168383
177,2022-12-08 09:00:00,13.052402,283.5201,10.98053,4100.0,13805.708505901486
178,2022-12-08 10:00:00,14.309054,287.26196,12.226471,5200.0,15000.0
179,2022-12-08 11:00:00,14.094324,282.72778,12.346619,3300.0,15000.0
180,2022-12-08 12:00:00,13.14248,278.85266,12.342133,5900.0,13982.63308510559
181,2022-12-08 13:00:00,13.324506,276.44843,12.149994,7150.0,14562.825070914289
182,2022-12-08 14:00:00,14.018114,273.84628,12.31192,8500.0,15000.0
183,2022-12-08 15:00:00,13.542285,274.7751,12.361389,9500.0,15000.0
184,2022-12-08 16:00:00,13.456583,272.7611,12.581146,11300.0,14987.68326207387
185,2022-12-08 17:00:00,12.702535,270.13354,12.01828,9540.0,12617.936182791445
186,2022-12-08 18:00:00,12.578445,272.34875,11.777954,7270.0,12265.064025083491
187,2022-12-08 19:00:00,12.602746,277.69864,12.178253,5580.0,12316.6743481653
188,2022-12-08 20:00:00,12.216738,276.73163,12.3151245,6820.0,11198.507634745729
189,2022-12-08 21:00:00,12.2687,276.99463,12.235443,7880.0,11340.828833384401
190,2022-12-08 22:00:00,12.890347,286.688,13.352875,6790.0,13266.981675998215
191,2022-12-08 23:00:00,14.200987,285.09488,13.375366,5610.0,15000.0
192,2022-12-09 00:00:00,14.921163,281.70563,13.250061,5210.0,15000.0
193,2022-12-09 01:00:00,14.838036,278.55246,13.181305,7000.0,15000.0
194,2022-12-09 02:00:00,14.447941,276.33545,13.123474,5490.0,15000.0
195,2022-12-09 03:00:00,14.086275,276.82214,13.095856,4790.0,15000.0
196,2022-12-09 04:00:00,13.763644,276.48535,13.057922,3330.0,15000.0
197,2022-12-09 05:00:00,13.533193,276.12576,13.046356,4110.0,15000.0
198,2022-12-09 06:00:00,14.192663,277.84732,13.059204,5150.0,15000.0
199,2022-12-09 07:00:00,14.656249,277.80972,13.0572815,5110.0,15000.0
200,2022-12-09 08:00:00,15.1440325,276.3565,13.072723,6900.0,15000.0
